target_uniprot,chem,n,v10_rho,v15_rho,rinalmo_rho,trifp_rho,hybridfilm_rho
P00734,DNA,54,0.367087883879358,0.3363192805675836,0.2021803767573912,0.007034467109675,0.16017687311122142
P00734,RNA,11,-0.6818181818181819,0.0545454545454545,-0.2636363636363636,-0.0727272727272727,0.7545454545454545
P04585,DNA,44,-0.1079345036143187,-0.1485442339058375,-0.4493570508800504,-0.2916451882664274,0.06603557553576768
O14786,DNA,31,-0.3137729444720137,0.2823149885994981,0.2208106517974646,0.5856019477806734,-0.11837064164850389
P15692,DNA,10,0.709090909090909,0.6242424242424242,-0.1636363636363636,0.6121212121212121,-0.09090909090909088
P15692,RNA,16,0.0810015606004721,0.0324006242401888,0.4197353594751736,0.1502210760226937,0.10309289530969178
P21781,RNA,18,0.1664944013320902,0.480620732673543,0.3018091482595151,0.414684813255703,0.748321312807839
P22629,DNA,17,-0.1793617207528915,0.187961255309537,-0.1203934837930367,-0.2886986601159554,0.15356311708295506
P01854,DNA,13,0.1239674125463794,0.2258961739734025,0.4132247084879315,-0.005509662779839,-0.45454717933672467
Q06330,DNA,14,0.0241758241758241,0.6791208791208792,0.389010989010989,0.3542356378978489,-0.6439560439560439
P00749,RNA,13,0.3186813186813187,-0.6538461538461539,-0.0384615384615384,0.0989010989010989,-0.1758241758241758
P01303,DNA,12,0.549309395859119,0.3732486920581193,-0.1197212785846797,0.1478909911928397,0.007042428152039987
P01298,DNA,12,-0.007017587058225,-0.1649132958682883,0.0912286317569255,-0.6596531834731535,-0.29824744997456415
P15941,DNA,12,0.4674933167816559,0.1581744304900339,0.0808447089171284,-0.5518530130430074,-0.15817443049003393
P00698,DNA,11,-0.2424776078367642,-0.3543903499152708,0.0372193684159388,0.4778159660711658,-0.6963833425064114
Q61727,DNA,12,0.5326485765816286,0.2539781292309752,-0.3527474017096878,0.4515166741884003,0.1763737008548439
P0DTC2,DNA,11,-0.3105055201845118,0.2283128824886115,0.3516018390324618,-0.2831079742858783,0.5433846603228955
Q13651,DNA,10,0.2063507818286384,-0.3564240777040118,0.531509589558614,0.2876404837611323,-0.5002443195845779
P08637,DNA,10,-0.4787878787878787,0.1515151515151515,0.709090909090909,0.2242424242424242,0.4424242424242424
P08246,DNA,10,0.1519763859200161,-0.0729486652416077,0.2127669402880226,0.6626170426112704,-0.3161108827136336
P16422,DNA,5,-0.1999999999999999,-0.0999999999999999,0.3,0.0999999999999999,-0.8999999999999998
P16422,RNA,4,-0.3999999999999999,-0.3999999999999999,-0.3999999999999999,-0.1999999999999999,-0.39999999999999997
P62805,DNA,9,-0.25,-0.1999999999999999,-0.45,-0.3,-0.5499999999999999
P11836,DNA,8,0.119047619047619,0.5714285714285715,0.0238095238095238,0.0952380952380952,0.4047619047619048
P04156,DNA,8,0.6190476190476191,0.6666666666666669,-0.2142857142857143,-0.0239525252382651,-0.28571428571428575
P01579,RNA,7,-0.8214285714285715,0.3571428571428572,-0.2142857142857143,0.1428571428571428,-0.6071428571428572
P10696,RNA,8,-0.2857142857142857,-0.523809523809524,0.1904761904761905,0.5952380952380953,0.07142857142857144
P14164,DNA,8,-0.2380952380952381,0.0714285714285714,-0.4285714285714286,0.1904761904761905,-0.2142857142857143
P01266,DNA,8,0.4285714285714286,-0.6904761904761906,-0.4761904761904762,-0.0476190476190476,0.04761904761904763
O75534,RNA,7,0.037062465833055,-0.7041868508280462,0.0741249316661101,0.1482498633322202,-0.8524367141602663
P03372,RNA,6,0.3585685828003181,0.0,0.0,-0.1195228609334393,-0.11952286093343938
P16410,RNA,7,-0.1785714285714286,-0.1785714285714286,0.0,0.5714285714285715,-0.25
P01589,RNA,5,-0.7,-0.7999999999999999,-0.6,-0.6,-0.6
P14210,DNA,7,-0.4000661320993194,-0.8001322641986388,0.0,-0.0545544725589981,-0.8365019125713042
P14151,DNA,7,0.0734223098214352,-0.3120448167410998,-0.091777887276794,0.4588894363839703,0.6975119433036349
Q7AP54,DNA,6,-0.3142857142857143,-0.3714285714285715,-0.0857142857142857,-0.0285714285714285,-0.6
P35270,DNA,6,0.0579771035652448,-0.5797710356524484,0.3478626213914691,-0.4638168285219587,-0.6667366910003157
P05121,DNA,4,0.0,-0.3999999999999999,-0.1999999999999999,0.1999999999999999,-0.39999999999999997
Q27102,DNA,6,0.4857142857142857,-0.942857142857143,0.5428571428571429,-0.3142857142857143,0.028571428571428574
P83673,DNA,6,0.8116794499134279,0.753702346348183,-0.1449427589131121,-0.4928053803045811,-0.08696565534786728
P27958,RNA,5,0.4999999999999999,0.0,0.0999999999999999,0.0999999999999999,0.3
P47741,RNA,5,0.2236067977499789,0.8944271909999157,0.6708203932499368,0.2236067977499789,0.22360679774997894
Q15116,DNA,5,0.4999999999999999,0.4999999999999999,0.3,0.0,0.39999999999999997
P25098,RNA,5,-0.7,-0.7,-0.7,-0.6,0.0
P02768,DNA,5,0.3999999999999999,0.0999999999999999,0.0,-0.6,0.3
P08089,DNA,5,0.0,-0.1999999999999999,0.6,1.0,0.8999999999999998
P04183,DNA,5,-0.7,0.0,0.3,0.3999999999999999,0.49999999999999994
